id,name,name1,active,size,rank
3830101,鯨浦南西沖断層,-,-,M6.9程度(海域の短い活断層),-
3840101,川尻岬沖断層,-,-,M6.8程度(海域の短い活断層),-
3850101,油谷島沖断層,-,-,M6.8程度(海域の短い活断層),-
3860101,対馬下県西方沖断層,-,-,M6.8程度(海域の短い活断層),-
3870101,沖ノ礁北方断層,-,-,M7.2程度,-
3880101,経ヶ岬沖断層,-,-,M7.4程度,-
3890101,小浜沖断層,-,-,M7.4程度,-
3900101,浦島礁北方北断層,-,-,M7.5程度,-
3910101,若狭海丘列北縁断層,-,-,M7.0程度,-
3920101,越前岬西方沖北断層,-,-,M7.5程度,-
3930101,浦島礁北東断層,-,-,M7.1程度,-
3940101,ゲンタツ瀬・大グリ南東縁断層帯,-,ゲンタツ瀬区間,M7.0程度,-
3940102,ゲンタツ瀬・大グリ南東縁断層帯,-,大グリ区間,M7.4程度,-
3950101,加佐ノ岬沖断層,-,-,M7.2程度,-
3960101,羽咋沖東断層,-,-,M7.3程度,-
3970101,羽咋沖西断層,-,-,M7.0程度,-
3980101,内灘沖断層,-,-,M7.3程度,-
3990101,海士岬沖東断層,-,-,M7.0程度,-
4000101,門前断層帯,-,門前沖区間,M7.1程度,-
4000102,門前断層帯,-,海士岬沖区間,M6.9程度,-
4010101,沖ノ瀬東方断層,-,-,M7.4程度,-
4020101,能登半島北岸断層帯,-,猿山沖区間,M7.1程度,-
4020102,能登半島北岸断層帯,-,輪島沖区間,M7.1程度,-
4020103,能登半島北岸断層帯,-,珠洲沖区間,M7.6程度,-
4030101,輪島はるか沖断層,-,-,M7.1程度,-
4040101,能登半島北方沖断層,-,-,M7.3程度,-
4050101,舳倉島近海断層帯,-,南西区間,M7.5程度,-
4050102,舳倉島近海断層帯,-,北東区間,M7.1程度,-
4060101,七尾湾東方断層帯,-,大泊鼻沖区間,M7.2程度,-
4060102,七尾湾東方断層帯,-,城ヶ崎沖区間,M7.0程度,-
4070101,飯田海脚南縁断層,-,-,M7.3程度,-
4080101,富山トラフ西縁断層,-,-,M7.8程度,-
4090101,上越沖断層帯,-,親不知沖区間,M7.1程度,-
4090102,上越沖断層帯,-,鳥ヶ首沖区間,M7.6程度,-
4090103,上越沖断層帯,-,上越海盆南縁区間,M7.2程度,-
4100101,名立沖断層,-,-,M7.3程度,-
4110101,上越海丘東縁断層,-,-,M7.2程度,-
4120101,伊笹岬沖断層,-,-,-,-
4130101,香住沖断層,-,-,-,-
4140101,万十北断層,-,-,-,-
4150101,浦島礁南方断層,-,-,-,-
4160101,浦島礁北方南断層,-,-,-,-
4170101,浦島礁北方東断層,-,-,-,-
4180101,美浜湾断層,-,-,-,-
4190101,越前岬西方沖南断層,-,-,-,-
4200101,越前岬西方沖中断層,-,-,-,-
4210101,ゲンタツ瀬南方断層,-,-,-,-
4220101,ゲンタツ瀬南東断層,-,-,-,-
4230101,前ノ瀬南方断層,-,-,-,-
4240101,沖ノ瀬断層,-,-,-,-
